"name","category","author","source","source-url","cover-image","genre","summary","cost","license","tags","stats","subtext1","subtext2"
"Fogheart - the Torso of the Giant King","adventures","Antigona404","itch.io","https://antigona404.itch.io/fogheart","https://img.itch.zone/aW1nLzg2NTU3MjEucG5n/original/4hVOR0.png","","A setting and adventure for Cairn and OSE","$5","","originals","","",""
"Forest Farragoes","adventures","ktrey","itch.io","https://ktrey.itch.io/forest-farragoes","https://img.itch.zone/aW1nLzg1MTY2OTcuanBn/original/oqLX62.jpg","","A Half-Dozen Random Tables for the Cairn Forest Jam","free","","originals","","",""
"Forest of Masts","adventures","StoryOrc","itch.io","https://storyorc.itch.io/forest-of-masts","https://img.itch.zone/aW1nLzg3MTA5NzYucG5n/original/3CcF1Z.png","","Soon-to-sink island adventure for Cairn/OSR","$3","","originals","","",""
"Forkun's Forest of Shadows","adventures","Robin Fjärem","itch.io","https://ialath.itch.io/forkuns-forest-of-shadows","https://img.itch.zone/aW1nLzg0NzcyMDMucG5n/original/cgf2mm.png","","An enchanted forest one-shot for Cairn","free","","originals","","",""
"Fungal Forest","adventures","Shamae","itch.io","https://shamaeimagines.itch.io/fungal-forest","https://img.itch.zone/aW1nLzg2MjQ1NzAucG5n/original/PjCOq5.png","","A short adventure for Cairn","free","","originals","","",""
"Gespenwald","adventures","Peakrill Press / Dan Sumption","itch.io","https://peakrill.itch.io/gespenwald","https://img.itch.zone/aW1nLzg2NTk5MjYucG5n/original/mpf%2Fr8.png","","A ghost forest adventure for Cairn and Into the Odd","£2","","originals","","",""
"Goblin Market","adventures","RefJon","itch.io","https://refjon.itch.io/goblin-market","https://img.itch.zone/aW1nLzI0NzkzMzQ5LnBuZw==/original/4ZVKuB.png","","A whimsical and perilous settlement for the adventure game Cairn","free","","originals","","",""
"Halls of the Beetle Queen","adventures","Gravy Press","itch.io","https://boryanonline.itch.io/halls-of-the-beetle-queen","https://img.itch.zone/aW1nLzE1NzcwNzcwLnBuZw==/original/%2BSqiP9.png","","Thirty-six hexes literally crawling with insects!","free","","originals","","",""
"Heart & Forest","adventures","SWAMP","itch.io","https://friggingfrogs.itch.io/heartforest","","","Tough decisions in a witch's forest","free","","originals","","",""
"Hideous Daylight","adventures","Brad Kerr","itch.io","https://brad-kerr.itch.io/hideous-daylight","https://img.itch.zone/aW1nLzQ0OTA4MjcucG5n/original/TKxGCL.png","","A pen-and-paper adventure module of sun-soaked horror. Compatible with Old-School Essentials and Cairn.","$9.99","","originals","","",""
"is Mightier","adventures","Matt Umland","itch.io","https://mattumland.itch.io/is-mightier","https://img.itch.zone/aW1nLzczMjQ3NDkucG5n/original/0xLoYP.png","","An HTML adventure for Cairn about a great mapmaker and a malevolent quill.","free","","originals","","",""
"Lair of the Serpent Prince","adventures","Nakade","itch.io","https://nakade.itch.io/lair-of-the-serpent-prince-cairn","https://img.itch.zone/aW1nLzQ5OTYzNDMucG5n/original/8K5QlE.png","","Adapting the Lair of the Serpent Prince for Cairn RPG by Yochai Gal","free","","originals","","",""
"Lilliputian - Adventure On the Open Seas","adventures","Manarampmatt","itch.io","https://manarampmatt.itch.io/lilliputian","https://img.itch.zone/aW1nLzg3NDIyMDEucG5n/original/itCend.png","","","","","originals","","",""
"Mandelbrook","adventures","sean f smith","itch.io","https://seanfsmith.itch.io/mandelbrook","https://img.itch.zone/aW1nLzgzMjI2MjkuanBn/original/t30oWD.jpg","","fractal forest foray","$2.95","","originals","","",""
"Merry March in the Winter Wood","adventures","PelleP","itch.io","https://pellep.itch.io/merry-march-in-the-winter-wood","https://img.itch.zone/aW1nLzg1MTk1MDgucG5n/original/bVyN%2BC.png","","Snowy pointcrawl exploration adventure for Cairn","free","","originals","","",""
"Oakenheart","adventures","Ghost Crew Press","itch.io","https://xenio-in-a-bottle.itch.io/oakenheart","https://img.itch.zone/aW1nLzg0NzU3MjQuanBn/original/GOxMv5.jpg","","A small forest dungeon for the Cairn RPG.","free","","originals","","",""
"Palace on the Pink Waves","adventures","The Fun Cube","itch.io","https://the-fun-cube.itch.io/palace-on-the-pink-waves","https://img.itch.zone/aW1nLzg5MzkwOTMucG5n/original/4%2FtM3x.png","","A whimsical nautical drunken adventure for the Cairn system.","free","","originals","","",""
"Piedmont - Critters of Wood and Mountain","adventures","Jordan S.","itch.io","https://lionheart-clan.itch.io/piedmont-critters-of-wood-and-mountain","https://img.itch.zone/aW1nLzg1MTU1NDcuanBn/original/l%2FsP1I.jpg","","A weird Appalachian bestiary for Cairn.","free","","originals","","",""
"Priest King of Beaver Island","adventures","Substitute Adventurer","itch.io","https://substitute-adventurer.itch.io/priest-king-of-beaver-island","","","","","","originals","","",""
"Protecting the All-Seed","adventures","sean f smith","itch.io","https://seanfsmith.itch.io/sgii","https://img.itch.zone/aW1nLzU2NDI1NTguanBn/original/uaJyXm.jpg","","","$2.95","","originals","","",""
"Salthaven","adventures","Robin Fjärem","itch.io","https://ialath.itch.io/salthaven","https://img.itch.zone/aW1nLzc4MTgzNTgucG5n/original/aaomA%2B.png","","An adventure for Cairn","$3","","originals","","",""
"Salthaven Town Gazetteer","adventures","Ialath","itch.io","https://ialath.itch.io/salthaven-town-gazetteer","","","","","","originals","","",""
"Sea of Mur","adventures","Dank Dungeons","itch.io","https://dank-dungeons.itch.io/sea-of-mur","https://img.itch.zone/aW1nLzEwMjc2OTA2LnBuZw==/original/%2FGVlhV.png","","A Setting Guide For Cairn","$6","","originals","","",""
"Shadows in the Gloomwoods","adventures","Pillarworks","itch.io","https://lawfulindifferent.itch.io/shadowsinthegloomwoods","","","wildwood horror pointcrawl sandbox for Cairn","$5","","originals","","",""
"Stony Foot Camp Area","adventures","jason-thomas","itch.io","https://jason-thomas.itch.io/stony-foot-camp-area","https://img.itch.zone/aW1nLzE2NDQzNjAxLnBuZw==/original/9e%2Bjay.png","","An OSR module to play with your mates when camping","free","","originals","","",""
"Sylvan Stele","adventures","Knightowlpub","itch.io","https://knightowlpub.itch.io/sylvan-stele","","","","","","originals","","",""
"Taintedweald","adventures","Zeruhur","itch.io","https://zeruhur.itch.io/taintedweald","","","","","","originals","","",""
"Tannic","adventures","Amanda P.","itch.io","https://hopefulweirdwonder.itch.io/tannic","https://img.itch.zone/aW1nLzg2OTgzMjYuanBn/original/2%2B1N5n.jpg","","A pastoral forest adventure for old school roleplaying","$7","","originals","","",""
"The Barrows Hunger","adventures","Glass Bird Games","itch.io","https://glassbirdgames.itch.io/the-barrows-hunger","https://img.itch.zone/aW1nLzczNTQ2ODcuanBn/original/9Z193E.jpg","","A deadly delve into the maws of the beast for Cairn RPG","free","","originals","","",""
"The Castle of The Spiderhobs","adventures","DocAstaroth","itch.io","https://docastaroth.itch.io/the-castle-of-the-spiderhobs","https://img.itch.zone/aW1nLzg2MjU4MjQucG5n/original/2eZZw9.png","","","free","","originals","","",""
"The Dreamer Swaddled in Reptiles","adventures","Ememyco","itch.io","https://ememyco.itch.io/the-dreamer-swaddled-in-reptiles","","","","","","originals","","",""
"The Fangwitch's Falls","adventures","eely moon","itch.io","https://emyco.itch.io/the-fangwitchs-falls","","","A small and soggy pointcrawl adventure for Cairn.","$5","","originals","","",""
"The Journal of the Mad Cuthos Taji - Field of Visions","adventures","tonytranrpg","itch.io","https://tonytrandesign.itch.io/mct-journal-field-of-visions","https://img.itch.zone/aW1nLzg3MDIyOTkuanBn/original/xamR8C.jpg","","Fragmented Journal - Art zine/booklet of missing pages to the field of visions","free","","originals","","",""
"The Perpetual Forest","adventures","PenPaperDice","itch.io","https://penpaperdice.itch.io/the-perpetual-forest","https://img.itch.zone/aW1nLzg0MDI2MTQucG5n/original/HZ7CxM.png","","A Mini-Hexcrawl and two Adventures for Cairn","$3","","originals","","",""
"The Riparian Forest Outside South Kul","adventures","jason wardell","itch.io","https://jasonwardell.itch.io/the-riparian-forest-outside-south-kul","https://img.itch.zone/aW1nLzg2NzU5MjcucG5n/original/qyOwMY.png","","A pilgrimage through the woods in search of peace.","$5","","originals","","",""
"The Sanctuary of the Cursed Druids","adventures","DangerIsReal","itch.io","https://dangerisreal.itch.io/the-sanctuary-of-the-cursed-druids","https://img.itch.zone/aW1nLzgyNTE1MTIucG5n/original/3ZXR65.png","","A Dungeon Crawl Adventure for Cairn and Other Old-school Role-playing Games","free","","originals","","",""
"The Terror Crow of Pipwick Church","adventures","Pointless Monument","itch.io","https://pointlessmonument.itch.io/the-terror-crow-of-pipwick-church","https://img.itch.zone/aW1nLzg0Nzk5MDMucG5n/original/Hga0g1.png","","Can you save the village of Warberley when death descends from the night sky on silent wings?","free","","originals","","",""
"The Wages of Sin","adventures","Pastelzito","itch.io","https://pastelzito.itch.io/the-wages-of-sin","https://img.itch.zone/aW1nLzkyNjA2ODUucG5n/original/jhQDtY.png","","An adventure seed in a distant village","free","","originals","","",""
"The Weft & The Weave","adventures","Andrew White","itch.io","https://andyanimates.itch.io/the-weft-the-weave","https://img.itch.zone/aW1nLzEwMDkzMTQwLmpwZw==/original/jdtUha.jpg","","A Forest Adventure for Cairn","$15","","originals","","",""
"Tulgey","adventures","atelier pilcrow","itch.io","https://unclevova.itch.io/tulgey-alice-in-wonderland-ttrpg","https://img.itch.zone/aW1nLzEyNDcxNzU0LnBuZw==/original/%2FAnFEq.png","","And hast thou slain the Jabberwock?","$1","","originals","","",""
"Vortex Isles","adventures","Brooklet Games","itch.io","https://brookletgames.itch.io/vortex-isles","https://img.itch.zone/aW1nLzgzNDc5ODUucG5n/original/q15NSQ.png","","Seek the lost treasure of Captain Lolligo in a dangerous ever-spiraling vortex!","$6","","originals","","",""
"Welcome to Wrongwood","adventures","Davidblandy","itch.io","https://davidblandy.itch.io/welcome-to-wrongwood","https://img.itch.zone/aW1nLzg2ODcyNTcucG5n/original/DQddMo.png","","","","","originals","","",""
"Beyond the Pale","adventures","Lost Pages","Lost Pages","https://shop.lostpages.co.uk/products/beyond-the-pale-print-pdf","","","","","","first-party","","",""
"CAS-1: Trouble in Twin Lakes","adventures","Yochai Gal","itch.io","https://yochaigal.itch.io/trouble-in-twin-lakes","https://img.itch.zone/aW1nLzE4NDE2Mzk3LnBuZw==/original/u4JBdh.png","","A setting and adventure for Cairn.","free","","first-party","","",""
"CAS-2: Rise of the Blood Olms","adventures","Yochai Gal","itch.io","https://yochaigal.itch.io/rise-of-the-blood-olms","https://img.itch.zone/aW1nLzE4NDE2NDM5LmpwZw==/original/WWo0Wy.jpg","","An short dungeon for Cairn","free","","first-party","","",""
"CAS-3: The Feast of Tegny Wood","adventures","Yochai Gal","itch.io","https://yochaigal.itch.io/the-feast-of-tegny-wood","https://img.itch.zone/aW1nLzIzNjc0MTk2LmpwZw==/original/WfRT9K.jpg","","","free","","first-party","","",""
